ModelPath,AUC_Custom,PerfectPointFound,AUC_PR,AUC_ROC,CompositeF1,FolderName,Task,Model,Architecture,LossFunction,TimeSeriesID,PlotHTMLPath
/kaggle/working/results/transformer_ae_model_ep200_ts45.pth,0.0001504664459825,False,0.0173455480139442,0.4020371760831084,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,45,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts45.html
/kaggle/working/results/transformer_ae_model_ep200_ts50.pth,0.0025510204081632,False,0.0177699443438703,0.6440989580092239,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,50,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts50.html
/kaggle/working/results/transformer_ae_model_ep200_ts51.pth,0.0051020408163265,False,0.0048131278622181,0.666163736552086,0.0176211453744493,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,51,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts51.html
/kaggle/working/results/transformer_ae_model_ep200_ts6.pth,0.0013495276653171,False,0.0095756465947847,0.6973644899701238,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,6,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts6.html
/kaggle/working/results/transformer_ae_model_ep200_ts69.pth,0.0002025931928687,False,0.0002099958000839,0.6378575776019476,0.0,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,69,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts69.html
/kaggle/working/results/transformer_ae_model_ep200_ts8.pth,0.0,True,0.0701116373741804,0.5905372326719919,0.1333333333333333,Anomaly_Task4_AE_Transformer_MSE,4,AE,Transformer,MSE,8,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MSE/transformer_ae_plot_ep200_ts8.html
/kaggle/working/results/transformer_ae_model_ep200_ts11.pth,0.0357142857142857,False,0.0777089863641609,0.4486499691421518,0.546583850931677,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,11,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts11.html
/kaggle/working/results/transformer_ae_model_ep200_ts2.pth,0.0002903600464576,False,0.0082278681384299,0.5918963461278856,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,2,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts2.html
/kaggle/working/results/transformer_ae_model_ep200_ts20.pth,0.0035460992907801,False,0.0345000941078005,0.4844988485721432,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,20,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts20.html
/kaggle/working/results/transformer_ae_model_ep200_ts21.pth,0.0003317850033178,False,0.0041202248059328,0.2540431177446103,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,21,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts21.html
/kaggle/working/results/transformer_ae_model_ep200_ts23.pth,0.0060240963855421,False,0.0132259900102861,0.3700967474777895,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,23,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts23.html
/kaggle/working/results/transformer_ae_model_ep200_ts31.pth,0.0011111111111111,False,0.0268939502732861,0.3996478672445255,0.0,Anomaly_Task4_AE_Transformer_MaxDiff,4,AE,Transformer,MaxDiff,31,/content/anomaly_detection/Experiments/Task4_5/Results/Anomaly_Task4_AE_Transformer_MaxDiff/transformer_ae_plot_ep200_ts31.html
